Area,Instituicao,Modalidade,Inicio Doutorado_disc,Inicio Mestrado_disc,Docentes_disc,Dissertacoes_disc,Teses_disc,Di/Te_disc,TotalPeriodicos_disc,Total Qualificados_disc,A1_disc,A2_disc,B1_disc,B2_disc,B3_disc,B4_disc,B5_disc,C_disc,NC_disc,Conferencias_disc,Livros_disc,Capitulos_disc,Coletaneas_disc,Prod.Artistica_disc,Outros_disc,Conceito
Biotecnologia,UNESP/ARAR,Acad,"(1991.4, 1995.8]","(1994.3, 1999.2]","(10.2, 16.4]","(14.2, 28.4]","(9, 18]","(1.687, 1.926]","(99.3, 132.4]","(92.7, 123.6]","(7.2, 14.4]","[0, 7.9]","(24.2, 36.3]","(21.6, 32.4]","(15, 22.5]","(8.6, 17.2]","[0, 8.4]","(4.5, 9]","(10.2, 15.3]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Biotecnologia,UNESP/BOT,Prof,,"(1999.2, 2004.1]","(16.4, 22.6]","(14.2, 28.4]","[0, 9]",,"(99.3, 132.4]","(61.8, 92.7]","[0, 7.2]","[0, 7.9]","[0, 12.1]","(10.8, 21.6]","[0, 7.5]","(34.4, 43]","[0, 8.4]","(18, 22.5]","(15.3, 20.4]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Quatro
Biotecnologia,UFRRJ,Acad,,"(2004.1, 2009]","(10.2, 16.4]","[0, 14.2]","[0, 9]",,"(33.1, 66.2]","(30.9, 61.8]","[0, 7.2]","[0, 7.9]","[0, 12.1]","[0, 10.8]","[0, 7.5]","(17.2, 25.8]","[0, 8.4]","(18, 22.5]","[0, 5.1]","(33.5, 67]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Tres
CienAgrarias_I,UFV,Acad,"(1987, 1991.4]","(1969.8, 1974.7]","(10.2, 16.4]","(28.4, 42.6]","(18, 27]","(1.467, 1.687]","(132.4, 165.5]","(123.6, 154.5]","(21.6, 28.8]","(15.8, 23.7]","(24.2, 36.3]","(21.6, 32.4]","(7.5, 15]","[0, 8.6]","(8.4, 16.8]","[0, 4.5]","(5.1, 10.2]","[0, 33.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Sete
CienAgrarias_I,UFV,Acad,"(1995.8, 2000.2]","(1979.6, 1984.5]","(16.4, 22.6]","(56.8, 71]","(36, 45]","(1.467, 1.687]","(236.7, 289.8]","(222.3, 276.4]","(7.2, 14.4]","(66.4, 78.1]","(101.4, 134.3]","(10.8, 21.6]","(7.5, 15]","[0, 8.6]","[0, 8.4]","(4.5, 9]","(20.4, 25.5]","(33.5, 67]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","(3.1, 6.2]",Sete
CienAgrarias_I,USP/CENA,Acad,"(1987, 1991.4]","(1969.8, 1974.7]","(35, 41.2]","(42.6, 56.8]","(45, 54]","[0.25, 0.972]","(369.2, 1543]","(346.2, 1119]","(61.6, 76.8]","(78.1, 152]","(134.3, 243]","(43.2, 54]","(7.5, 15]","[0, 8.6]","(25.2, 33.6]","[0, 4.5]","(36.7, 44.8]","(67, 100.5]","[0, 4.6]","(60.8, 76]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Sete
CienAgrarias_I,USP/ESALQ,Acad,"(1969.4, 1973.8]","[1960, 1964.9]","(10.2, 16.4]","(14.2, 28.4]","(36, 45]","[0.25, 0.972]","(132.4, 165.5]","(123.6, 154.5]","(21.6, 28.8]","(23.7, 31.6]","(48.4, 60.5]","(10.8, 21.6]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","(5.1, 10.2]","(33.5, 67]","[0, 4.6]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Sete
CienAgrarias_I,USP/ESALQ,Acad,"(1969.4, 1973.8]","[1960, 1964.9]","(16.4, 22.6]","(28.4, 42.6]","(27, 36]","[0.25, 0.972]","(289.8, 369.2]","(276.4, 346.2]","(36, 43.2]","(47.4, 55.3]","(134.3, 243]","(21.6, 32.4]","[0, 7.5]","(8.6, 17.2]","(16.8, 25.2]","[0, 4.5]","(10.2, 15.3]","(67, 100.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Sete
CienAgrarias_I,USP/ESALQ,Acad,"(1969.4, 1973.8]","(1964.9, 1969.8]","(10.2, 16.4]","(28.4, 42.6]","(27, 36]","(0.972, 1.237]","(165.5, 200.6]","(154.5, 187.4]","[0, 7.2]","(39.5, 47.4]","(72.6, 84.7]","(10.8, 21.6]","[0, 7.5]","(8.6, 17.2]","[0, 8.4]","[0, 4.5]","[0, 5.1]","[0, 33.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Sete
CienAgrarias_I,UFLA,Acad,"(1991.4, 1995.8]","(1984.5, 1989.4]","(10.2, 16.4]","(42.6, 56.8]","(18, 27]","(1.687, 1.926]","(132.4, 165.5]","(154.5, 187.4]","[0, 7.2]","(7.9, 15.8]","(48.4, 60.5]","(54, 64.8]","[0, 7.5]","[0, 8.6]","(25.2, 33.6]","[0, 4.5]","[0, 5.1]","(100.5, 137]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UFRRJ,Acad,"(1978.2, 1982.6]","(1969.8, 1974.7]","(16.4, 22.6]","(28.4, 42.6]","(27, 36]","(0.972, 1.237]","(132.4, 165.5]","(154.5, 187.4]","[0, 7.2]","(7.9, 15.8]","(60.5, 72.6]","(21.6, 32.4]","[0, 7.5]","(8.6, 17.2]","(16.8, 25.2]","[0, 4.5]","[0, 5.1]","(67, 100.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UFSC,Acad,"(2000.2, 2004.6]","(1994.3, 1999.2]","(10.2, 16.4]","(14.2, 28.4]","(9, 18]","(1.687, 1.926]","(66.2, 99.3]","(61.8, 92.7]","[0, 7.2]","(7.9, 15.8]","(24.2, 36.3]","(10.8, 21.6]","[0, 7.5]","[0, 8.6]","(8.4, 16.8]","[0, 4.5]","(5.1, 10.2]","[0, 33.5]","[0, 4.6]","(30.4, 45.6]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UFV,Acad,"(1978.2, 1982.6]","(1974.7, 1979.6]","(16.4, 22.6]","(56.8, 71]","(27, 36]","(1.926, 2.252]","(200.6, 236.7]","(187.4, 222.3]","[0, 7.2]","(15.8, 23.7]","(84.7, 101.4]","(43.2, 54]","(7.5, 15]","[0, 8.6]","(16.8, 25.2]","[0, 4.5]","(5.1, 10.2]","[0, 33.5]","(4.6, 9.2]","(15.2, 30.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UFV,Acad,"(1978.2, 1982.6]","(1974.7, 1979.6]","(22.6, 28.8]","(56.8, 71]","(45, 54]","(1.237, 1.467]","(289.8, 369.2]","(276.4, 346.2]","(14.4, 21.6]","(31.6, 39.5]","(101.4, 134.3]","(43.2, 54]","(7.5, 15]","(8.6, 17.2]","(33.6, 42]","[0, 4.5]","(10.2, 15.3]","[0, 33.5]","(18.4, 23]","(76, 92.4]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
CienAgrarias_I,UFV,Acad,"(1995.8, 2000.2]","(1969.8, 1974.7]","[4, 10.2]","(42.6, 56.8]","(18, 27]","(1.687, 1.926]","(66.2, 99.3]","(61.8, 92.7]","(7.2, 14.4]","[0, 7.9]","(24.2, 36.3]","[0, 10.8]","[0, 7.5]","[0, 8.6]","[0, 8.4]","[0, 4.5]","[0, 5.1]","[0, 33.5]","[0, 4.6]","[0, 15.2]","[0, 2.9]","[0, 6.2]","[0, 3.1]",Seis
